user_id,age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label,total_usage,week_usage_dff,addiction_level_encoded
U00099,34,Other,4.94,2.81,1.36,2.54,7.75,218,160,6.93,Low,Yes,None,0,4.17,1.9899999999999993,0
U00100,19,Male,9.07,2.0,2.65,3.17,6.49,89,70,11.46,Low,No,Severe,1,4.65,2.3900000000000006,3
U00101,27,Female,9.1,3.76,2.11,2.2,5.49,173,29,9.62,Medium,Yes,Moderate,1,5.869999999999999,0.5199999999999996,2
U00102,27,Female,5.95,0.54,2.99,1.47,6.21,200,73,7.7,High,No,None,0,3.5300000000000002,1.75,0
U00103,19,Female,6.93,3.03,0.31,2.22,6.43,123,178,8.47,Low,No,Mild,0,3.34,1.540000000000001,1
U00104,23,Female,10.21,3.9,3.33,5.56,4.9,236,42,11.32,High,No,Moderate,1,7.23,1.1099999999999994,2
U00105,27,Male,9.71,1.72,3.12,0.92,7.35,155,145,10.69,Medium,No,Moderate,1,4.84,0.9799999999999986,2
U00106,21,Other,4.32,1.58,2.41,4.68,7.45,65,175,6.06,High,No,Mild,0,3.99,1.7399999999999993,1
U00107,28,Male,4.36,0.88,1.77,2.17,5.74,34,105,6.13,Medium,No,Mild,0,2.65,1.7699999999999996,1
U00108,19,Other,6.32,2.08,2.58,5.88,4.91,172,144,7.78,High,Yes,Moderate,1,4.66,1.46,2
U00109,24,Male,5.89,3.12,0.6,0.84,4.97,250,102,8.85,Low,Yes,None,0,3.72,2.96,0
U00110,32,Male,11.92,3.38,2.44,2.5,8.63,119,119,14.36,High,Yes,Severe,1,5.82,2.4399999999999995,3
U00111,28,Female,3.85,4.23,1.14,4.48,7.45,174,53,5.18,High,Yes,Severe,1,5.37,1.3299999999999996,3
U00112,30,Other,4.16,4.4,0.34,3.57,7.4,104,47,6.34,High,Yes,Severe,1,4.74,2.1799999999999997,3
U00113,29,Male,3.16,2.2,3.8,2.38,7.95,69,72,6.16,Low,Yes,Mild,0,6.0,3.0,1
U00114,34,Male,9.94,5.09,3.53,0.71,6.02,216,173,10.77,Medium,Yes,Moderate,1,8.62,0.8300000000000001,2
U00115,23,Female,9.49,0.74,1.46,4.46,8.86,176,87,11.87,Medium,Yes,Moderate,1,2.2,2.379999999999999,2
U00116,33,Male,11.14,1.57,2.71,3.64,6.48,216,87,13.59,High,No,Moderate,1,4.28,2.4499999999999993,2
U00117,22,Female,10.86,0.79,1.92,2.54,8.7,202,147,13.49,Medium,Yes,Moderate,1,2.71,2.630000000000001,2
U00118,32,Other,11.15,1.31,1.75,5.71,5.5,135,104,13.98,Medium,Yes,Severe,1,3.06,2.83,3
U00119,29,Female,5.12,5.97,1.5,0.66,8.69,234,100,7.6,Low,Yes,Severe,1,7.47,2.4799999999999995,3
U00120,22,Female,9.83,3.08,2.46,5.48,4.59,75,53,11.7,High,No,Moderate,1,5.54,1.8699999999999992,2
U00121,25,Female,5.71,0.76,1.68,4.87,6.56,48,142,7.7,Low,Yes,None,0,2.44,1.9900000000000002,0
U00122,31,Female,3.01,2.44,2.28,1.53,7.51,154,107,3.68,High,Yes,Mild,0,4.72,0.6700000000000004,1
U00123,19,Male,8.72,5.9,1.01,0.59,8.05,108,76,11.05,High,Yes,Severe,1,6.91,2.33,3
U00124,19,Male,6.17,2.36,2.57,5.07,7.58,198,137,8.25,Low,Yes,Moderate,1,4.93,2.08,2
U00125,27,Female,4.81,4.85,3.54,2.24,5.9,121,154,6.49,Low,Yes,Severe,1,8.39,1.6800000000000006,3
U00126,19,Female,10.79,2.33,0.5,2.52,8.5,210,127,13.53,Medium,No,Moderate,1,2.83,2.74,2
U00127,33,Male,6.31,4.89,1.07,0.95,6.41,130,169,9.3,Low,No,Severe,1,5.96,2.990000000000001,3
U00128,20,Female,5.95,2.13,1.78,4.45,5.25,133,104,7.57,High,No,Mild,0,3.91,1.62,1
U00129,19,Male,3.68,4.01,1.45,4.91,7.56,27,51,6.3,High,No,Moderate,1,5.46,2.6199999999999997,2
U00130,20,Other,5.12,4.05,1.45,5.72,4.65,59,130,7.99,Medium,No,Moderate,1,5.5,2.87,2
U00131,22,Female,7.77,2.69,2.6,1.87,5.01,208,62,9.52,Medium,Yes,Moderate,1,5.29,1.75,2
U00132,32,Other,4.93,3.87,2.78,5.99,5.4,54,33,6.56,High,No,None,0,6.65,1.63,0
U00133,28,Male,9.01,4.4,2.2,2.1,5.85,60,178,9.95,Medium,Yes,Moderate,1,6.6000000000000005,0.9399999999999995,2
U00134,22,Female,5.13,3.22,1.44,3.65,6.6,161,48,7.16,Low,Yes,Mild,0,4.66,2.0300000000000002,1
U00135,33,Other,7.73,4.73,3.29,0.91,8.88,184,33,9.35,High,No,Moderate,1,8.02,1.6199999999999992,2
U00136,23,Female,9.91,1.21,2.01,5.28,8.24,152,54,11.17,Low,No,Moderate,1,3.2199999999999998,1.2599999999999998,2
U00137,34,Other,11.05,5.15,1.0,3.99,6.98,52,175,12.31,High,Yes,Moderate,1,6.15,1.2599999999999998,2
U00138,22,Other,4.54,3.93,3.61,2.36,8.66,30,22,5.24,High,No,None,0,7.54,0.7000000000000002,0
U00139,31,Female,8.56,0.67,3.56,3.5,7.39,97,138,9.67,High,No,Severe,1,4.23,1.1099999999999994,3
U00140,20,Male,9.2,1.37,1.66,3.05,6.03,56,95,11.85,Medium,No,Severe,1,3.0300000000000002,2.6500000000000004,3
U00141,29,Male,7.63,1.08,0.97,1.17,6.52,56,39,8.26,Medium,No,Mild,0,2.05,0.6299999999999999,1
U00142,28,Female,11.4,4.47,0.76,1.38,8.98,139,142,14.1,Medium,Yes,Moderate,1,5.2299999999999995,2.6999999999999993,2
U00143,34,Male,7.12,1.82,2.33,0.77,5.77,172,135,8.33,Low,Yes,Moderate,1,4.15,1.21,2
U00144,26,Other,9.55,4.7,1.46,2.7,7.07,69,107,11.43,Low,No,Severe,1,6.16,1.879999999999999,3
U00145,26,Other,10.43,3.93,2.44,1.21,4.94,115,101,12.32,Medium,Yes,Moderate,1,6.37,1.8900000000000006,2
U00146,34,Other,6.61,0.72,0.16,4.42,8.12,152,131,7.48,High,Yes,Moderate,1,0.88,0.8700000000000001,2
U00147,28,Male,4.46,5.95,2.96,2.15,6.01,232,145,6.29,High,No,Severe,1,8.91,1.83,3
U00148,29,Other,5.98,1.1,1.67,2.19,8.54,243,176,6.55,Medium,No,None,0,2.77,0.5699999999999994,0
U00149,19,Male,8.25,1.44,2.52,3.91,8.29,57,77,8.83,High,Yes,Moderate,1,3.96,0.5800000000000001,2
U00150,32,Other,5.82,1.33,2.76,2.76,7.99,140,30,8.08,High,Yes,Mild,0,4.09,2.26,1
U00151,33,Male,7.73,2.23,0.69,5.52,6.04,110,179,10.24,Medium,No,Mild,0,2.92,2.51,1
U00152,26,Male,8.02,1.74,3.89,2.14,5.8,73,140,9.31,Medium,No,Severe,1,5.63,1.290000000000001,3
U00153,35,Female,6.42,5.89,3.27,5.75,8.12,94,25,7.64,High,Yes,Severe,1,9.16,1.2199999999999998,3
U00154,26,Male,9.73,1.68,3.31,1.99,7.03,89,50,10.5,High,Yes,Moderate,1,4.99,0.7699999999999996,2
U00155,34,Other,5.03,1.78,0.4,2.32,6.63,194,50,5.54,High,Yes,Mild,0,2.18,0.5099999999999998,1
U00156,33,Female,7.3,1.6,3.86,2.27,7.41,216,37,9.43,Low,Yes,Mild,0,5.46,2.13,1
U00157,23,Female,11.41,0.7,3.34,4.83,5.34,211,89,14.1,Low,No,Moderate,1,4.04,2.6899999999999995,2
U00158,27,Other,7.09,4.03,2.1,5.39,5.1,149,134,8.27,Low,No,Moderate,1,6.130000000000001,1.1799999999999997,2
U00159,32,Other,8.83,4.45,0.06,2.35,5.83,192,64,9.77,High,No,Severe,1,4.51,0.9399999999999995,3
U00160,28,Female,3.78,4.18,0.74,1.27,5.96,83,16,4.93,Low,No,Severe,1,4.92,1.15,3
U00161,27,Other,8.24,3.65,1.05,2.48,5.56,190,45,9.9,Low,No,Severe,1,4.7,1.6600000000000001,3
U00162,21,Other,8.75,5.67,1.47,1.71,8.81,142,54,10.39,High,No,Severe,1,7.14,1.6400000000000006,3
U00163,35,Male,11.22,4.67,3.21,5.04,7.93,194,167,13.9,Low,No,Severe,1,7.88,2.6799999999999997,3
U00164,21,Male,3.56,3.51,2.02,3.65,5.17,103,148,5.16,High,Yes,Mild,0,5.529999999999999,1.6,1
U00165,34,Female,7.01,0.81,0.53,2.78,7.04,163,133,9.19,Medium,Yes,Moderate,1,1.34,2.1799999999999997,2
U00166,18,Female,9.71,3.68,0.18,2.39,4.79,35,32,12.68,Medium,Yes,Severe,1,3.8600000000000003,2.969999999999999,3
U00167,23,Other,9.92,4.71,3.91,4.05,6.39,248,112,11.54,Medium,No,Moderate,1,8.620000000000001,1.6199999999999992,2
U00168,35,Other,4.2,5.23,0.47,5.96,6.27,52,72,6.79,Low,No,Severe,1,5.7,2.59,3
U00169,35,Male,6.82,2.59,0.92,3.03,5.2,68,43,7.4,High,No,Mild,0,3.51,0.5800000000000001,1
U00170,24,Male,3.61,3.77,1.79,4.2,8.42,82,26,5.12,Low,Yes,None,0,5.5600000000000005,1.5100000000000002,0
U00171,34,Female,11.94,1.79,3.67,3.67,7.1,217,97,13.03,Low,Yes,Severe,1,5.46,1.0899999999999999,3
U00172,26,Other,3.55,5.72,3.52,5.51,7.32,129,157,5.29,Medium,No,Severe,1,9.24,1.7400000000000002,3
U00173,31,Other,6.67,2.15,0.74,3.46,5.58,77,91,9.31,Low,No,Mild,0,2.8899999999999997,2.6400000000000006,1
U00174,31,Male,11.71,3.57,0.54,1.84,5.42,185,35,14.52,Medium,Yes,Moderate,1,4.109999999999999,2.8099999999999987,2
U00175,26,Male,6.39,3.83,0.16,0.9,8.12,170,158,7.43,Low,No,Moderate,1,3.99,1.04,2
U00176,24,Female,11.43,5.79,0.47,6.0,6.66,82,169,13.69,Medium,Yes,Severe,1,6.26,2.26,3
U00177,30,Male,7.2,4.07,1.23,2.48,8.47,139,40,9.71,High,No,Severe,1,5.300000000000001,2.5100000000000007,3
U00178,29,Male,5.82,0.75,3.46,4.58,4.57,161,164,7.77,Medium,No,None,0,4.21,1.9499999999999993,0
U00179,28,Male,5.07,3.63,0.98,3.53,8.75,106,80,7.48,Medium,No,Mild,0,4.609999999999999,2.41,1
U00180,29,Female,4.52,4.46,1.95,5.54,6.94,184,30,6.33,Low,Yes,Moderate,1,6.41,1.8100000000000005,2
U00181,22,Male,10.58,1.77,2.83,0.55,6.78,115,30,12.62,High,No,Severe,1,4.6,2.039999999999999,3
U00182,18,Male,7.79,2.76,0.07,4.47,6.91,93,19,9.55,High,No,Mild,0,2.8299999999999996,1.7600000000000007,1
U00183,21,Other,7.72,1.83,2.48,1.89,6.09,223,116,8.42,Medium,No,Mild,0,4.3100000000000005,0.7000000000000002,1
U00184,25,Other,5.7,5.05,0.32,5.95,7.42,28,38,7.21,Medium,No,Moderate,1,5.37,1.5099999999999998,2
U00185,18,Other,9.33,0.95,3.38,4.05,5.99,239,39,12.07,Low,Yes,Moderate,1,4.33,2.74,2
U00186,33,Other,5.44,5.58,2.74,2.04,6.94,188,23,6.39,Medium,Yes,Moderate,1,8.32,0.9499999999999993,2
U00187,22,Other,9.77,4.42,1.59,0.92,5.23,81,160,12.36,Medium,No,Severe,1,6.01,2.59,3
U00188,22,Female,10.11,4.29,0.31,4.6,6.06,45,126,11.19,Low,No,Severe,1,4.6,1.08,3
U00189,18,Other,8.71,4.81,1.8,1.75,6.99,116,125,9.67,High,No,Moderate,1,6.609999999999999,0.9599999999999991,2
U00190,27,Male,10.18,4.42,0.33,1.35,7.7,182,54,12.53,Medium,No,Moderate,1,4.75,2.3499999999999996,2
U00191,18,Male,11.49,2.95,3.05,1.06,4.89,130,129,13.38,High,No,Moderate,1,6.0,1.8900000000000006,2
U00192,20,Other,6.19,1.01,2.39,2.28,6.23,94,120,7.66,Low,Yes,Mild,0,3.4000000000000004,1.4699999999999998,1
U00193,30,Male,4.53,1.98,1.07,1.3,5.25,90,122,5.78,Low,No,Mild,0,3.05,1.25,1
U00194,33,Female,8.34,1.58,0.43,2.18,8.77,105,173,9.79,Medium,No,Severe,1,2.0100000000000002,1.4499999999999993,3
U00195,22,Female,5.7,3.82,2.78,3.13,5.3,121,96,6.93,High,No,None,0,6.6,1.2299999999999995,0
U00196,30,Other,5.52,4.82,1.46,5.63,5.4,159,61,7.72,High,Yes,Severe,1,6.28,2.2,3
U00197,24,Other,6.95,2.1,2.77,5.0,8.08,124,142,7.8,Medium,Yes,Moderate,1,4.87,0.8499999999999996,2
U00198,22,Female,9.44,4.84,0.3,5.95,6.66,122,151,11.21,High,No,Moderate,1,5.14,1.7700000000000014,2
U00199,35,Female,8.34,5.53,0.44,1.87,7.49,62,180,10.37,High,No,Severe,1,5.970000000000001,2.0299999999999994,3
U00200,21,Female,3.09,1.92,2.04,3.35,7.11,167,71,4.7,Medium,No,None,0,3.96,1.6100000000000003,0
U00201,18,Other,7.34,2.12,3.68,0.97,8.24,206,51,8.71,Medium,No,Mild,0,5.800000000000001,1.370000000000001,1
U00202,33,Other,6.13,1.04,2.89,2.99,4.8,31,44,6.69,Medium,Yes,Mild,0,3.93,0.5600000000000005,1
U00203,25,Male,7.64,3.54,1.32,2.85,6.58,224,118,9.71,Low,No,Moderate,1,4.86,2.070000000000001,2
U00204,24,Female,7.05,2.86,0.02,1.68,5.75,200,31,8.99,High,Yes,Moderate,1,2.88,1.9400000000000004,2
U00205,24,Female,7.12,1.94,3.45,3.4,7.38,172,114,9.15,High,Yes,Moderate,1,5.390000000000001,2.0300000000000002,2
U00206,32,Male,8.56,4.98,2.82,2.14,7.27,41,49,9.84,Low,No,Moderate,1,7.800000000000001,1.2799999999999994,2
U00207,29,Female,9.24,3.31,1.67,1.26,6.23,67,139,11.33,High,Yes,Moderate,1,4.98,2.09,2
U00208,27,Other,4.26,2.23,1.8,0.79,6.12,22,139,5.1,Medium,No,Mild,0,4.03,0.8399999999999999,1
U00209,33,Male,6.74,5.12,1.95,0.95,4.64,214,71,7.97,Medium,Yes,Severe,1,7.07,1.2299999999999995,3
U00210,32,Other,8.09,4.75,1.98,3.31,7.08,88,154,10.65,Medium,Yes,Severe,1,6.73,2.5600000000000005,3
U00211,24,Male,11.91,1.06,3.32,4.63,5.84,28,130,13.07,Low,No,Moderate,1,4.38,1.1600000000000001,2
U00212,24,Other,10.3,3.73,1.4,4.41,7.35,62,172,11.15,Low,Yes,Moderate,1,5.13,0.8499999999999996,2
U00213,29,Female,7.79,3.78,0.67,5.88,5.82,166,83,10.67,High,Yes,Mild,0,4.45,2.88,1
U00214,19,Male,11.93,5.27,0.51,5.26,5.62,202,97,14.5,High,No,Severe,1,5.779999999999999,2.5700000000000003,3
U00215,26,Female,8.65,2.56,0.3,4.87,7.96,123,146,11.02,High,No,Severe,1,2.86,2.369999999999999,3
